编号 病种分类 病证名 中医症状 中医证型 状态要素
1 F肺系病证 风寒证 怕风,发热,汗出 太阳中风证 外风,寒,表 
2 F肺系病证 风寒证 怕风,发热,无汗 太阳伤寒证 外风,寒,表 
3 F肺系病证 风寒证 怕风,汗出,项强 太阳柔痉证 外风,寒,表,经络 
4 F肺系病证 风寒证 怕风,无汗,项强 太阳刚痉证 外风,寒,表,经络 
5 F肺系病证 风寒证 怕风,骨节疼痛,心烦,汗出,气短 阳虚骨痹证 外风,寒,膀胱,关节 
6 F肺系病证 风寒证 怕风,发热,口渴,舌燥,心烦 阳明胃热津气两伤证 外风,寒,心,津亏 
7 F肺系病证 风寒证 怕冷,发热,无汗 太阳伤寒证 外风,寒,表 
8 F肺系病证 风寒证 怕冷,发热,口渴 太阳温病证 外风,寒,热,表 
9 F肺系病证 风寒证 怕冷,发热,汗出 太阳中风证 外风,寒,表 
10 F肺系病证 风寒证 怕冷,脉浮,小便多 太阳病证兼阴阳两虚证 肺,膀胱,表,外风,寒,阳虚 
11 F肺系病证 风寒证 怕冷,呕吐,胸闷 太阳中风证兼少阳病证 外风,寒,半表半里,胃 
12 F肺系病证 风寒证 怕冷,头汗出,手足冷 少阳病证兼太阳病证 外风,寒,半表半里 
13 F肺系病证 风寒证 怕冷,发热,无汗,心烦,脉浮 太阳伤寒证 外风,寒,表,热 
14 F肺系病证 风寒证 怕冷,发热,咳嗽,干呕 太阳伤寒证 外风,表,寒,热,胃,肺 
15 F肺系病证 风寒证 怕冷,脉迟,汗出 太阳中风证兼阳明病证 外风,寒,表 
16 F肺系病证 风热证 汗出,怕风,脉缓 太阳中风证 外风,热,表 
17 F肺系病证 风热证 发热,无汗,身痛 太阳伤寒证 外风,热,表 
18 F肺系病证 风热证 发热,汗出,脉洪大 太阳中风轻证 外风,热,表 
19 F肺系病证 风热证 发热,无汗,脉微缓 太阳伤寒轻证 外风,热,表 
20 F肺系病证 风热证 发热,无汗,头身疼痛 太阳伤寒重证 外风,热,表 
21 F肺系病证 风热证 发热,怕冷,脉微弱 太阳温病证 外风,热,表 
22 F肺系病证 风热证 发热,汗出,脉浮 营卫不和证 外风,热,表 
23 F肺系病证 咳嗽 咳嗽,怕冷,发热,干呕 太阳伤寒证 肺,胃,表,寒,热,饮
24 F肺系病证 咳嗽 咳嗽,泄泻,干呕,口渴,心烦 阴虚水气热证 肺,胃,肠,心神,膀胱,阴虚,湿,热
25 F肺系病证 咳嗽 咳嗽,咽喉疼痛 咽痛热证 肺,咽,热 
26 F肺系病证 咳嗽 咳嗽,咽喉疼痛 咽痛热证 肺,咽,热 
27 F肺系病证 咽疾 腹胀,气喘 阳明热证 咽,肺,表,热,胆,肠,外风,寒 
28 F肺系病证 咽疾 咽干,口苦,目眩 少阳胆热气郁证 咽,半表半里 
29 F肺系病证 咽疾 咽干,口干,发热,汗出 阳明热极证 咽,肠,胃,热,燥屎,津亏 
30 F肺系病证 咽疾 咽喉疼痛,呕吐,泄泻,脉紧 少阴寒证 寒,气滞,咽,胃,肠 
31 F肺系病证 咽疾 咽喉疼痛,心烦,泄泻,胸满 阴虚内热证 咽,肾,阴虚 
32 F肺系病证 咽疾 咽喉疼痛,咳嗽 咽痛热证 热,咽,肺 
33 F肺系病证 咽疾 咽喉疼痛,口不渴 咽痛寒证 寒,痰,咽 
34 F肺系病证 咽疾 咽喉疼痛,面红,手足冷 阳虚格阳证 咽,肾,阳虚,阳浮 
35 F肺系病证 咽疾 咽喉疼痛,发热,汗出,口渴 阳复太过证 热,毒,咽 
36 F肺系病证 咽疾 咽喉疼痛,咳嗽,发热,头晕,目眩 阳明热证 咽,肺,热 
37 X心系病证 懊依 心胸懊恼,起卧不安,身热 热扰胸膈证 热,胸膈 
38 X心系病证 懊侬 心胸懊恼,胸痛,腹痛,心烦,气短 实热结胸证 外风,痰,热,表,胸膈,心神,肝,胆,湿 
39 X心系病证 懊侬 心胸懊恼,身黄 湿热发黄证 胸膈,肝,胆,湿,热 
40 X心系病证 懊侬 心胸懊恼,饥不能食 阳明郁热证 胃,胸膈,热,心神 
41 X心系病证 懊侬 心胸懊恼,大便干,腹胀,心烦 阳明热结证 胸膈,脾,气虚,湿,热,燥屎,胃,肠 
42 X心系病证 懊侬 心胸懊恼,身热,心烦,腹冷 上热下寒证 热,胸膈,心,脾,胃,阳虚 
43 X心系病证 懊侬 心胸懊恼,大便干,小便多 阳明热结轻证 胸膈,津亏,燥,热,心神,膀胱 
44 X心系病证 不寐 失眠,心烦,汗出,发热,不呕,不渴 肾阳虚烦躁证 阳浮,阳虚,肾,心神 
45 X心系病证 不寐 失眠,心烦,口渴 胃热津伤证 心神,热,燥,津亏,膀胱,胃 
46 X心系病证 不寐 失眠,心烦,起卧不安 热扰胸膈证 心神,热,胸膈,脾,胃,阳虚 
47 X心系病证 不寐 失眠,双目僵硬 阴虚火旺证 阴虚,血虚,心神
48 X心系病证 不寐 失眠,心烦,泄泻,咳嗽,干呕,口渴 阴虚水气热证 肾,阴虚,膀胱,心神,湿,热 
49 X心系病证 心烦 心烦,腹胀,身热,起卧不安 热扰胸腹证 热,胸膈,胃,心神 
50 X心系病证 心烦 心烦,口苦,咽干,胸胁满 胆热气郁证 心神,半表半里,胆,热,气滞 
51 X心系病证 心烦 心烦,头汗出,小便不利,口渴,不呕 胆热水气证 心神,半表半里,胆,阳郁,饮,热 
52 X心系病证 心烦 心烦,身热,怕冷,口渴 阳明热伤津气证 胃,心神,热,气虚,津亏 
53 X心系病证 心烦 心烦,不呕,不泄泻 阳明热结缓证 心神,胃,热,气滞 
54 X心系病证 心烦 心烦,干呕,泄泻,肠鸣,腹胀 中虚湿热痞重证 胃,肠,心,湿,热,气虚 
55 X心系病证 心烦 心烦,泄泻,口渴,昏昏沉沉 少阴寒证 心,肾,阳虚 
56 X心系病证 心烦 心烦,泄泻,咽痛,胸满,手足热 阴虚内热证 心,肠,肾,阴虚 
57 X心系病证 心烦 心烦,口渴,干呕,小便不利 虚热水气证 心,肾,阴虚,膀胱,湿
58 X心系病证 心烦 心烦,失眠,起卧不安 心肾虚热证 肾,阴虚,心,阳亢 
59 X心系病证 心悸 心悸,脐下悸,有气上冲心胸 肾虚水气证 心,阳虚,肾,气逆 
60 X心系病证 心悸 心悸,有气上冲心胸 肾寒气逆证 心,肾,阳虚,少腹,寒,气逆 
61 X心系病证 心悸 心悸,心烦,脉弱 心气血虚证 心,脾,阳虚,气虚,血虚,外风,寒,表 
62 X心系病证 心悸 心悸,汗出,胸腹喜按 心阳虚悸证 心,阳虚 
63 X心系病证 心悸 心悸,发热,头晕,目眩,身体颤动 阳虚水泛证 肾,心神,阳虚,寒 
64 X心系病证 心悸 心悸,心烦,口苦 胆热气郁证 心,半表半里,胆,热,气滞 
65 X心系病证 心悸 心悸,手足冷,泄泻 阳郁水气证 寒,阳郁,胃,肠,心
66 X心系病证 心悸 心悸,脉结代 心阴阳气血虚证 心,阴虚,阳虚,气虚,血虚 
67 X心系病证 心悸 心悸,身重,气短,脉弱 心气虚证 心,外风,寒,湿,气虚,阳虚 
68 X心系病证 胸痹心痛 心痛,身热,心烦 热扰胸膈证 热,胸膈 
69 X心系病证 胸痹心痛 心痛,有气上冲心胸,口渴,饥不欲食,呕吐,泄泻 厥阴肝热证 热,寒,肝,胃,肠,胸膈 
70 X心系病证 胸满 胸满,胸闷,气短,脉促 胸阳不足证 外风,寒,表,胸膈,阳郁,气虚,气滞 
71 X心系病证 胸满 胸满,胁痛,口苦,咽干 胆热气郁证 胸膈,半表半里,胆,热,气滞 
72 X心系病证 胸满 胸满,心烦,小便不利,谵语,身重 少阴心热证 胸膈,半表半里,热,心神,膀胱 
73 X心系病证 胸满 胸满,泄泻,咽痛,手足热 阴虚内热证 胸膈,肾,咽,阴虚 
74 P脾胃系病证 便秘 不大便,谵语,身体枯燥不荣,手足躁扰不宁 气血两燔证 燥屎,热,毒,阴虚,津亏,肠 
75 P脾胃系病证 便秘 不大便,心烦,腹胀,腹痛 热结宿食证 燥屎,热,肠,心神 
76 P脾胃系病证 便秘 不大便,汗出,谵语,潮热 阳明热结轻证 热,燥屎,肠,气虚,血虚 
77 P脾胃系病证 便秘 不大便,潮热,谵语,腹痛,汗出 阳明热结重证 热,燥屎,胃,肠 
78 P脾胃系病证 便秘 不大便,小便多 脾约证 热,胃,脾,膀胱,阴虚,津亏,肠,燥 
79 P脾胃系病证 便秘 不大便,腹胀,腹痛,口渴,舌燥,潮热 实热结胸证 胸膈,热,燥屎,胃,肠 
80 P脾胃系病证 便秘 大便干硬,小便不利,呕吐 胃热盛证 胃,肠,膀胱,热,燥屎,津亏,阳亢,阳虚,气虚 
81 P脾胃系病证 便秘 大便干硬,头汗出,手足冷,腹胀,不欲食,口苦 胆热气郁证 燥屎,半表半里,胆,热,气滞 
82 P脾胃系病证 便秘 大便干硬,骨节疼痛,心烦,不呕,不渴 阳虚肌痹证 燥屎,阳虚,寒,湿,肌肤,脾 
83 P脾胃系病证 便秘 大便干硬,汗出,谵语 阳明热结轻证 热,燥屎,胃,肠 
84 P脾胃系病证 便秘 大便干硬,手足汗出,谵语 阳明热结重证 热,燥屎,胃,肠 
85 P脾胃系病证 便秘 大便干硬,发热,心烦 阳明热结缓证 燥屎,胃,热,心 
86 P脾胃系病证 便秘 大便干硬,口干,舌燥,肌肤枯燥不荣 热结津亏证 燥屎,肠,津亏,燥,热
87 P脾胃系病证 便秘 大便干硬,小便多,脉浮涩 脾约证 燥屎,热,胃,脾,膀胱,阴虚,津亏,肠 
88 P脾胃系病证 腹痛 腹痛,心烦,寸脉浮,关脉沉 结胸证 饮,热,心神,少腹
89 P脾胃系病证 腹痛 腹痛,手足冷,腹胀 冷结膀胱关元证 寒,少腹,膀胱 
90 P脾胃系病证 腹痛 腹痛,腹胀,脉浮滑 胃脘痰热证 痰,热,胃,少腹 
91 P脾胃系病证 腹痛 腹痛,心烦,气短,无汗 太阳病证兼阳明病证 外风,寒,心,少腹 
92 P脾胃系病证 腹痛 腹痛,泄泻,小便不利,大便脓血 少阴阳虚便血证 脾,肾,肠,膀胱,阳虚,气虚,动血 
93 P脾胃系病证 腹痛 腹痛,身重,身痛,小便不利 少阴阳虚水气证 少腹,膀胱,肾,阳虚,湿,饮,寒 
94 P脾胃系病证 腹痛 腹痛,泄泻,面红,手足冷,脉微 少阴阳虚格阳证 少腹,肾,阳虚,阳浮 
95 P脾胃系病证 腹痛 腹痛,肉上粟起,口不渴 寒实结胸证 少腹,寒,饮,湿,热,肌肤 
96 P脾胃系病证 腹痛 腹痛,手足冷 肝气郁滞证 少腹,寒,阳郁 
97 P脾胃系病证 腹痛 腹痛,泄泻,肠鸣 肝寒泄泻证 少腹,胃,肠,肝,阳虚,寒 
98 P脾胃系病证 腹痛 腹痛,呕吐,泄泻 寒湿霍乱证 气滞,寒,湿,胃,肠 
99 P脾胃系病证 腹痛 腹痛,心悸,心烦,手足热 气血虚证 脾,心神,阳虚,气虚,血虚 
100 P脾胃系病证 腹痛 腹痛,呕吐,身热 胃热脾寒证 胃,热,脾,肠,寒 
101 P脾胃系病证 腹痛 腹痛,干呕,肠鸣,泄泻 中虚湿热痞兼食滞水气证 胃,气虚,湿,热,饮,食积 
102 P脾胃系病证 腹痛 腹痛,腹胀,肠鸣,干呕,心烦 中虚湿热痞重证 胃,心,气虚,气逆,湿,热 
103 P脾胃系病证 腹胀 腹胀,心烦,身热,起卧不安 热扰胸腹证 热,胸膈,胃 
104 P脾胃系病证 腹胀 腹胀,身重,汗出,手足冷,谵语,语言不利 阳明热盛证 胃,热,湿
105 P脾胃系病证 腹胀 腹胀,心烦,头晕,目眩,小便不利,脉迟 虚寒谷疸证 少腹,寒,心神,膀胱 
106 P脾胃系病证 腹胀 腹胀,气短,身重,潮热 阳明热结重证 热,湿,燥屎,胃,肠 
107 P脾胃系病证 腹胀 腹胀,呕吐,泄泻 寒湿霍乱证 气滞,寒,湿,胃,肠 
108 P脾胃系病证 腹胀 腹胀,口干,发热,汗出,身重 阳明热郁证 胃,胸膈,热,心神 
109 P脾胃系病证 腹胀 腹胀,谵语,身体枯燥不荣,手足躁扰不宁 气血两燔证 少腹,热,毒,阴虚,津亏 
110 P脾胃系病证 腹胀 腹胀,腹痛 脾伤络瘀证 脾,经络,气滞,血瘀
111 P脾胃系病证 腹胀 腹胀,汗出,腹痛 脾气虚气滞证 脾,阳虚,气滞 
112 P脾胃系病证 腹胀 腹胀,发热,呕吐 阳明热结缓证 胃,热,气滞 
113 P脾胃系病证 腹胀 腹胀,泄泻,身痛,手足冷 厥阴肝寒证 肾,脾,肠,阳虚,寒 
114 P脾胃系病证 腹胀 腹胀,咳嗽,发热,干呕 寒饮郁肺证 少腹,肺,表,寒,饮
115 P脾胃系病证 腹胀 腹胀,发热,小便自利 下焦血结证 血瘀,热,少腹 
116 P脾胃系病证 呕吐 干呕,汗出,发热 太阳中风证 胃,外风,热,表 
117 P脾胃系病证 呕吐 干呕,发热,咳嗽 寒饮郁肺证 胃,肺,表,热,饮 
118 P脾胃系病证 呕吐 干呕,心下痞,胁下痛 悬饮证 外风,寒,表,饮,胸膈,胃 
119 P脾胃系病证 呕吐 干呕,腹胀,心烦,泄泻,肠鸣 湿热痞重证 胃,气虚,气逆,湿,热 
120 P脾胃系病证 呕吐 干呕,泄泻,面红,手足冷,脉微 阳虚戴阳证 胃,肠,肾,阳虚,阳浮 
121 P脾胃系病证 呕吐 干呕,手足冷,昏昏沉沉 少阴虚寒证 脾,胃,肾,阳虚,气逆
122 P脾胃系病证 呕吐 干呕,头痛,吐涎沫 肝寒气逆证 肝,寒,胃,气逆 
123 P脾胃系病证 呕吐 干呕,口苦,咽干,胸胁满 少阳胆热证 半表半里,胆,胃,热,气滞 
124 P脾胃系病证 呕吐 呕吐,腹痛,身热 胃热牌寒证 胃,热,脾,肠,寒 
125 P脾胃系病证 呕吐 呕吐,泄泻 霍乱证 气逆,胃,肠 
