编号 病种分类 病证名 中医症状 中医证型 状态要素 中药 经方
1 F肺系病证 风寒证 怕风,发热,汗出 太阳中风证 外风,寒,表 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
2 F肺系病证 风寒证 怕风,发热,无汗 太阳伤寒证 外风,寒,表 麻黄,桂枝,炙甘草,杏仁 麻黄汤
3 F肺系病证 风寒证 怕风,汗出,项强 太阳柔痉证 外风,寒,表,经络 葛根,桂枝,芍药,生姜,炙甘草,大枣,麻黄 桂枝加葛根汤
4 F肺系病证 风寒证 怕风,无汗,项强 太阳刚痉证 外风,寒,表,经络 葛根,麻黄,桂枝,生姜,炙甘草,芍药,大枣 葛根汤
5 F肺系病证 风寒证 怕风,骨节疼痛,心烦,汗出,气短 阳虚骨痹证 外风,寒,膀胱,关节 炙甘草,炮附子,白术,桂枝 甘草附子汤
6 F肺系病证 风寒证 怕风,发热,口渴,舌燥,心烦 阳明胃热津气两伤证 外风,寒,心,津亏 知母,石膏,炙甘草,粳米,人参 白虎加人参汤
7 F肺系病证 风寒证 怕冷,发热,无汗 太阳伤寒证 外风,寒,表 麻黄,桂枝,炙甘草,杏仁 麻黄汤
8 F肺系病证 风寒证 怕冷,发热,口渴 太阳温病证 外风,寒,热,表 桂枝,芍药,麻黄,生姜,杏仁,炙甘草,大枣 桂枝二麻黄一汤
9 F肺系病证 风寒证 怕冷,发热,汗出 太阳中风证 外风,寒,表 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
10 F肺系病证 风寒证 怕冷,脉浮,小便多 太阳病证兼阴阳两虚证 肺,膀胱,表,外风,寒,阳虚 桂枝,芍药,炙甘草,生姜,大枣,炮附子 桂枝加附子汤
11 F肺系病证 风寒证 怕冷,呕吐,胸闷 太阳中风证兼少阳病证 外风,寒,半表半里,胃 桂枝,黄芩,芍药,人参,炙甘草,半夏,大枣,生姜,柴胡 柴胡桂枝汤
12 F肺系病证 风寒证 怕冷,头汗出,手足冷 少阳病证兼太阳病证 外风,寒,半表半里 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
13 F肺系病证 风寒证 怕冷,发热,无汗,心烦,脉浮 太阳伤寒证 外风,寒,表,热 麻黄,桂枝,炙甘草,杏仁,生姜,大枣,石膏 大青龙汤
